trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-106.03747120875488,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-61.4312472523283,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-117.41019615602715,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-81.10798739028951,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-10.494758024355047,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-83.22215648174814,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-30.677827118748105,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-30.780461376993298,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-114.57242317499022,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-41.41617745376607,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,-60.007594564153706,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-117.58486053987107,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-131.45304315903826,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-82.16965726337769,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-47.041457176730106,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-38.31148199819482,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,-25.87257370136492,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,24.656815308811545,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-14.493483717014868,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,-56.40339355875369,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-36.14361319004049,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,5,19.3516148155061,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,3,10.936521298531401,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-128.5766412617482,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-13.509615232615511,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,8,18.14112793157016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,17,-22.426699121389692,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,16,6.812959225361776,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,-40.41475145779667,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",35,0,-1.4580704344107334,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
