trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",30,0,-163.53855326324327,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-188.47086621061385,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-181.44614526016517,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",30,0,-64.14307104167578,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,0,-119.14857620305712,"{0: 16, 1: 4, 2: 1, 3: 3, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-159.81464665878173,"{0: 10, 1: 2, 2: 2, 3: 5, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-59.52819140302387,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-50.27191984349993,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",30,0,-96.71727253574201,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,0,-137.70154863945052,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-124.17169565405378,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-199.59962845363782,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-137.52863272979525,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-144.07584665506266,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",35,0,-179.1544764682659,"{0: 23, 1: 2, 2: 4, 3: 4, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-33.193777450049964,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,4,-104.45265509238618,"{0: 6, 1: 4, 2: 4, 3: 1, 4: 1}",1
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-65.10353654555006,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",25,0,-151.19518819311364,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-90.07360171552588,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",25,0,-179.08040981291563,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",25,0,-68.67204702590821,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",25,0,-180.17550736300592,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",20,11,-52.605292019688335,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",30,0,-118.36227520193128,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,11,17.837819426176107,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",20,0,-29.59977103583174,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",25,0,-162.76233326739634,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,0,-119.755336935153,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-92.71180385590841,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",30,0,-163.83101024925512,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",30,0,-173.36310187158412,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",30,0,-125.77286866294511,"{0: 19, 1: 3, 2: 3, 3: 5, 4: 0}",0
34,False,"{'a': 0.001, 'e': 0.967538559589032}",20,0,-64.54026922793005,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
