trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-171.27195555900593,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-135.43557635141357,"{0: 18, 1: 0, 2: 10, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-154.52674639497073,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-285.13639131178434,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-150.41613391405184,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-165.28158835761238,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-50.41417774259975,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-67.23331103339879,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-216.23503764655638,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-105.0102341358112,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-91.91798985229629,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,17,-31.968852524223017,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,1,-54.62650479437973,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,5,-58.01773512939096,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-120.92637610018646,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-66.3375143974337,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-103.53446929747417,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-65.67904352616752,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-91.91579305589107,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-51.755164625608586,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-31.188744494233465,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-112.72349917425129,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-112.21856997984813,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-190.78197446522688,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-175.47478563953482,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-99.09356374531855,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-111.76263269776193,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-61.44737718059364,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-63.48209636364413,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-146.66833782576842,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
